"district_psa","average_ela_proficiency","average_math_proficiency","average_percent_attending_90","total_crimes"
"011","57.1","37.3","92","1029"
"012","35.5","20.4","54.9","559"
"021","25.9","14.1","68","1698"
"022","33.6","18.65","73.4","1291"
"031","66.2","52.199999999999996","88.40000000000002","758"
"032","40.9","26.900000000000002","70.13333333333333","1262"
"033","46.839999999999996","31.659999999999997","80.85999999999999","1449"
"051","53","32.8","72.7","461"
"053","50.5","25.2","67.7","339"
"071","38.3","26.7","69.4","614"
"072","82.2","62.4","89.5","767"
"073","64.94999999999999","50.8","88.2","878"
"081","41.9","24.96666666666667","64","1074"
"082","46.45","29.5","71.69999999999999","1313"
"083","49.05","30.5","67.25","932"
"091","28.133333333333336","15.833333333333334","54.833333333333336","1194"
"092","35.724999999999994","19.224999999999998","66.6","1306"
"093","57.9","43.9","74.25","1232"
"095","79","71.9","90","307"
"121","24.9","7.9","46.2","1211"
"123","15.850000000000001","4.45","34.3","1816"
"124","28.1","11.100000000000001","64","1142"
"141","26.325","7.15","66.9","1717"
"142","16.4","4","22.6","1207"
"143","53.45","33.9","78.95","1274"
"144","37.6","23.433333333333334","72.56666666666666","823"
"151","30.483333333333334","14.466666666666667","66.66666666666667","2175"
"152","28.4","12.775","65.9","2666"
"153","32.025","17.675000000000004","67.6","2036"
"161","16","7.1","41.5","1167"
"162","18.9","7.9750000000000005","45.650000000000006","1398"
"171","45.725","31.275000000000002","70.625","1001"
"172","39.4","20.2","67.5","549"
"173","28.6","16.2","63.3","669"
"181","16.15","2.95","46.1","1054"
"182","22.599999999999998","6.833333333333333","58.23333333333333","1216"
"183","62.400000000000006","49.15","82.8","1566"
"191","29.866666666666664","13.933333333333332","63.98333333333333","1399"
"192","14","4.1","37.5","2434"
"193","25.1","6.04","59.35999999999999","1515"
"221","19.35","6.55","47.05","2166"
"222","14.575","5.550000000000001","38.05","1560"
"223","16.4","5.05","45.599999999999994","1551"
"224","16.4","16.2","51.2","1076"
"241","29.75","13.5","62.525000000000006","1955"
"253","16.166666666666668","5.766666666666667","56.699999999999996","1654"
"254","15.5","3.533333333333333","43.300000000000004","1244"
"261","17.75","5.85","48.275000000000006","900"
"263","50.26666666666667","27.766666666666666","72.10000000000001","1446"
"351","36.85","20.85","70.44999999999999","1375"
"352","21.080000000000002","6.840000000000001","61.2","1699"
"391","31.6","12.575","62.175000000000004","1489"
"392","15.9","5.166666666666667","53.13333333333333","1598"
"393","23.8","5.1","49.6","1462"
